object,RA,DEC,logAge,age,FeH,Z,E(B-V),field,CTYPE,a,b,flag_u,flag_r,r_logAge,r__M_H_
[BS95] 138,16.81625,-72.1025,9.22,1659586907.43756,0.0,0.0,0.0859,MC0095,C,1.3,0.65,1.0,1.0,RZ05,
[BS95] 146,17.767082,-72.35083,0.0,0.00,0.0,0.0,0.0874,MC0095,C,0.45,0.35,0.0,0.0,,
[BS95] 16,10.745417,-73.168335,8.45,281838293.126445,0.0,0.0,0.0976,MC0114,C,0.55,0.5,0.0,0.0,CVH+06.PU99,
OGLE-CL SMC  291,21.0625,-73.16778,8.3,199526231.496888,0.0,0.0,0.1173,MC0116,C,0.5,0.5,0.0,0.0,PdGR+15,
[BS95] 254,13.215417,-72.73639,7.15,14125375.4462276,0.0,0.0,0.105,MC0094,C,0.5,0.4,0.0,0.0,GGK10.CVH+06,
[BS95] 254,13.215417,-72.73639,7.15,14125375.4462276,0.0,0.0,0.105,MC0115,C,0.5,0.4,3.0,3.0,GGK10.CVH+06,
[BS95] 255,13.228333,-73.02889,8.9,794328234.724282,0.0,0.0,0.0786,MC0115,C,0.4,0.3,2.0,0.0,CVH+06,
[BS95] 259,13.731667,-72.44611,7.75,56234132.5190349,0.0,0.0,0.089,MC0094,C,0.55,0.5,0.0,0.0,GGK10.CVH+06,
[BS95] 276,17.523333,-72.736946,8.25,177827941.003892,0.0,0.0,0.087,MC0095,C,0.8,0.75,0.0,0.0,GGK10,
[BS95] 277,18.49375,-72.14778,8.7,501187233.627272,0.0,0.0,0.0819,MC0095,C,0.5,0.45,0.0,0.0,GGK10,
[BS95] 280,18.839582,-72.35028,0.0,0.00,0.0,0.0,0.0792,MC0095,C,0.3,0.3,0.0,0.0,,
OGLE-CL SMC  287,21.376667,-73.38861,0.0,0.00,0.0,0.0,0.0921,MC0116,C,0.5,0.5,3.0,3.0,,
OGLE-CL SMC  287,21.376667,-73.38861,0.0,0.00,0.0,0.0,0.0921,MC0117,C,0.5,0.5,1.0,1.0,,
